Country,"Track Identifier","Media type","Date Played",Hours,"Play Duration Milliseconds","End Reason Type","Source Type","Play Count","Skip Count","Ignore For Recommendations","Track Reference","Track Description"
China,1540066168,AUDIO,20221203,0,146644,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,false,1540066168,"Steve Lacy - Infrunami"
China,1474669292,AUDIO,20221204,0,300361,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1474669292,"Lana Del Rey - The greatest"
China,1496405665,AUDIO,20221204,0,260877,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1496405665,"Christine and the Queens - People, I've been sad"
China,1438127642,AUDIO,20221204,0,232934,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1438127642,"Molly Nilsson - A Slice of Lemon"
China,1477652626,AUDIO,20221204,0,224947,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1477652626,"FKA twigs - home with you"
China,1247719579,AUDIO,20221204,0,212048,OTHER,IPHONE,1,0,false,1247719579,"Beach House - Myth"
China,1458754722,AUDIO,20221204,0,204067,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1458754722,"FKA twigs - Cellophane"
China,1466810468,AUDIO,20221204,0,194947,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1466810468,"Kindness - The Warning (feat. Robyn)"
China,1460702041,AUDIO,20221204,0,172393,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1460702041,"Kevin Abstract - Corpus Christi"
China,1482950632,AUDIO,20221205,21,278769,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1482950632,"Dayglow - Can I Call You Tonight?"
China,1440818666,AUDIO,20221205,21,258969,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1440818666,"Lorde - Ribs"
China,1631909584,AUDIO,20221205,21,232115,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1631909584,"Steve Lacy - Bad Habit"
China,1442354403,AUDIO,20221205,21,196520,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1442354403,"WILLOW - Wait a Minute!"
China,1440766784,AUDIO,20221205,22,160997,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,false,1440766784,"Frank Ocean - Lost"
China,1573857816,AUDIO,20221205,21,141645,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1573857816,"Hauskey & Hope Tala - One Minute"
China,1567877398,AUDIO,20221205,22,69226,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,false,1567877398,"Omar Apollo - Go Away"
China,1639747550,AUDIO,20221205,21,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1639747550,"Zedd, Maren Morris & BEAUZ - Make You Say"
China,1506832357,AUDIO,20221207,"6, 7",1262083,NATURAL_END_OF_TRACK,IPHONE,7,1,false,1506832357,"Natalie Taylor - Surrender"
China,1053934846,AUDIO,20221207,"0, 6",527574,NATURAL_END_OF_TRACK,IPHONE,2,0,false,1053934846,"Coldplay - Adventure of a Lifetime"
China,1643766778,AUDIO,20221207,"2, 5",360960,NATURAL_END_OF_TRACK,IPHONE,2,0,false,1643766778,"Alt Bloom - TYCO"
China,1575643066,AUDIO,20221207,6,347015,TRACK_SKIPPED_BACKWARDS,IPHONE,3,4,false,1575643066,"ROLE MODEL - forever&more"
China,1321217032,AUDIO,20221207,"2, 6",345025,NATURAL_END_OF_TRACK,IPHONE,2,1,false,1321217032,"Camila Cabello - Havana (feat. Young Thug)"
China,1496290187,AUDIO,20221207,6,292294,NATURAL_END_OF_TRACK,IPHONE,2,1,false,1496290187,"Jeremy Zucker - always, i'll care"
China,1637010017,AUDIO,20221207,1,274507,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1637010017,"Carly Rae Jepsen - The Loneliest Time (feat. Rufus Wainwright)"
China,1439343348,AUDIO,20221207,2,273640,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1439343348,"P!nk - A Million Dreams"
China,1647081129,AUDIO,20221207,0,257882,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1647081129,"Gracie Abrams - Difficult"
China,1638969045,AUDIO,20221207,1,232115,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1638969045,"Steve Lacy - Bad Habit"
China,1079234243,AUDIO,20221207,7,230369,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,false,1079234243,"Leon Bridges - River"
China,1440845869,AUDIO,20221207,0,230238,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1440845869,"Alessia Cara - Scars to Your Beautiful"
China,1613804465,AUDIO,20221207,6,223000,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1613804465,"Still Woozy & Remi Wolf - pool"
China,1440504730,AUDIO,20221207,1,220460,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1440504730,"Sara Bareilles - Brave"
China,1440873514,AUDIO,20221207,2,219721,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1440873514,"Taylor Swift - I Knew You Were Trouble"
China,1440806726,AUDIO,20221207,1,219392,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1440806726,"Maroon 5 - One More Night"
China,1606805553,AUDIO,20221207,2,214119,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1606805553,"JC Stewart - Love Like That"
China,1564099110,AUDIO,20221207,0,211295,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1564099110,"Coldplay - Higher Power"
China,1496037084,AUDIO,20221207,6,210000,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1496037084,"Peach Tree Rascals - Mariposa"
China,1652773701,AUDIO,20221207,1,209596,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1652773701,"Julia Michaels - Sorry To Me Too"
China,1544998844,AUDIO,20221207,1,207600,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1544998844,"AJR - Way Less Sad"
China,1639747550,AUDIO,20221207,0,206000,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1639747550,"Zedd, Maren Morris & BEAUZ - Make You Say"
China,1061182684,AUDIO,20221207,1,204013,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1061182684,"Rachel Platten - Fight Song"
China,1548506212,AUDIO,20221207,1,203953,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1548506212,"Clean Bandit - Higher (feat. iann dior)"
China,1651920775,AUDIO,20221207,0,201048,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1651920775,"Olivia O'Brien - Never Be The One"
China,1655062137,AUDIO,20221207,0,197180,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1655062137,"Lila Drew - Used To"
China,1649587855,AUDIO,20221207,1,196440,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1649587855,"Anna of the North - Red Light"
China,1649435261,AUDIO,20221207,1,194166,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1649435261,"Taylor Swift - Bejeweled"
China,1468058706,AUDIO,20221207,1,193000,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1468058706,"Taylor Swift - ME! (feat. Brendon Urie of Panic! At The Disco)"
China,1513644753,AUDIO,20221207,1,192833,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1513644753,"Forest Blakk - Put Your Hands up"
China,1592683514,AUDIO,20221207,2,192621,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1592683514,"Lorde - Solar Power"
China,1651857182,AUDIO,20221207,2,187794,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1651857182,"Avril Lavigne - I’m a Mess (with YUNGBLUD)"
